exchangeId,rank,baseSymbol,baseId,quoteSymbol,quoteId,priceQuote,priceUsd,volumeUsd24Hr,percentExchangeVolume,tradesCount24Hr,updated
bibox,18,CHZ,chiliz,USDT,tether,0.1143860000000000,0.1143984611830769,4662519.7020379080627848,1.7221736318958377,,1733944919334
bibox,19,MASK,mask-network,USDT,tether,3.5493520000000000,3.5497386655454029,4601736.3014210464011261,1.6997223445042656,,1733927894816
bibox,20,BTC,bitcoin,USDT,tether,100769.1000000000000000,100780.0777612959387395,4562428.0017417374111484,1.6852032171764439,,1733990683021
bibox,21,QTUM,qtum,USDT,tether,4.2940000000000000,4.2944677873177865,4202743.2830974155399197,1.5523481135348705,,1733990251884
bibox,22,SAND,the-sandbox,USDT,tether,0.7556120000000000,0.7556943161878825,3536452.2597426513476904,1.3062432378624032,,1733940800923
bibox,23,ETC,ethereum-classic,USDT,tether,34.6390000000000000,34.6427735642526332,3481356.4135420303348043,1.2858927364988968,,1733990525352
bibox,24,GNO,gnosis-gno,USDT,tether,277.8594000000000000,277.8896699355956614,3338164.6105655854173058,1.2330026334754453,,1733970375014
bibox,25,SLP,small-love-potion,USDT,tether,0.0053830000000000,0.0053835864227135,3251783.4557457539611170,1.2010964203910472,,1733988428584
bibox,26,1INCH,1inch,USDT,tether,0.4842090000000000,0.4842617496109357,2940847.7109667423236225,1.0862475028329603,,1733954125684
bibox,27,MKR,maker,USDT,tether,2028.2000000000000000,2028.4209516157276680,2882637.8992860445280600,1.0647468102460091,,1733990565609
bibox,28,BAL,balancer,USDT,tether,3.8020000000000000,3.8024141889572018,2763193.5006516443824573,1.0206281776285621,,1733988374472
bibox,29,YGG,yield-guild-games,USDT,tether,0.7236570000000000,0.7237358350179384,2387031.1544836024782676,0.8816868078795986,,1733983281539
bibox,30,WIN,wink,USDT,tether,0.0001377700000000,0.0001377850086304,2123427.6331077747753287,0.7843207777500276,,1733944915535
bibox,31,XRP,xrp,ETH,ethereum,0.0006193400000000,2.4235433295483656,2122018.9551929041401225,0.7838004608150098,,1733989963320
bibox,32,UMA,uma,ETH,ethereum,0.0010238200000000,4.0063166139086893,2065484.8004731791661996,0.7629186979953750,,1733988376996
bibox,33,FTM,fantom,USDT,tether,1.3066300000000000,1.3067723439550627,1964387.9348038626736867,0.7255770099276735,,1733989960833
bibox,34,ALICE,myneighboralice,USDT,tether,1.6318000000000000,1.6319777678959395,1943281.4427263484223172,0.7177810012369593,,1733973472035
bibox,35,UNI,uniswap,USDT,tether,18.5280000000000000,18.5300184358229969,1856735.8757753503113172,0.6858140599937214,,1733988419734
bibox,36,AXS,axie-infinity,USDT,tether,8.2426000000000000,8.2434979468434064,1841931.3409117547049551,0.6803457764895417,,1733973925922
bibox,37,AVAX,avalanche,USDT,tether,48.2537000000000000,48.2589567463661563,1822287.4951036354308879,0.6730900187787519,,1733955348903
bibox,38,BCH,bitcoin-cash,USDT,tether,556.9900000000000000,557.0506783554107848,1814477.3866624667326627,0.6702052346536041,,1733990532877
bibox,39,DOGE,dogecoin,USDT,tether,0.4171920000000000,0.4172374487952217,1810202.9625785208764330,0.6686264101296682,,1733988313791
bibox,40,XRP,xrp,USDT,tether,2.4213600000000000,2.4216237823707023,1804969.2005790122016166,0.6666932393363667,,1733989964569
bibox,41,LTC,litecoin,ETH,ethereum,0.0311363000000000,121.8396553941563199,1741862.3086583845457112,0.6433837345617053,,1733990542906
bibox,42,SXP,swipe,USDT,tether,0.3676020000000000,0.3676420464726579,1669034.4461849579303167,0.6164836392410889,,1733927885474
bibox,43,XRP,xrp,BTC,bitcoin,0.0000240800000000,2.4213067929405571,1627291.6902286772404358,0.6010653079042479,,1733989962075
bibox,44,TRB,tellor,USDT,tether,80.2180000000000000,80.2267389294499764,1562173.9934186221781881,0.5770130813008840,,1733988387031
bibox,45,TLM,alien-worlds,USDT,tether,0.0192960000000000,0.0192981021015566,1540221.8864601945975277,0.5689047316993077,,1733973930941
bibox,46,BSV,bitcoin-sv,ETH,ethereum,0.0174523000000000,68.2927071564519336,1505658.5478523033329992,0.5561382289958916,,1733988369468
bibox,47,PHA,phala-network,USDT,tether,0.1801080000000000,0.1801276209218053,1495433.4098997296358013,0.5523614164374968,,1733988414650
